identifiant,Prénom,Nom,Département,Numéro de circonscription,Groupe politique (complet)
267200,Sébastien,Huyghe,Nord,5,Ensemble pour la République
794022,Jérémie,Iordanoff,Isère,5,Écologiste et Social
722374,Cyrille,Isaac-Sibille,Rhône,12,Les Démocrates
794598,Laurent,Jacobelli,Moselle,8,Rassemblement National
720354,Jean-Michel,Jacques,Morbihan,6,Ensemble pour la République
842117,Vincent,Jeanbrun,Val-de-Marne,7,Droite Républicaine
841439,Pascal,Jenft,Moselle,5,Rassemblement National
719778,François,Jolivet,Indre,1,Horizons & Indépendants
794030,Alexis,Jolly,Isère,6,Rassemblement National
841749,Tiffany,Joncour,Rhône,13,Rassemblement National
841075,Sylvie,Josserand,Gard,6,Rassemblement National
720038,Sandrine,Josso,Loire-Atlantique,7,Les Démocrates
840869,Florence,Joubert,Dordogne,3,Rassemblement National
643192,Chantal,Jourdan,Orne,1,Socialistes et apparentés
346782,Philippe,Juvin,Hauts-de-Seine,3,Droite Républicaine
795998,Émeline,K/Bidi,Réunion,4,Gauche Démocrate et Républicaine
335054,Marietta,Karamanli,Sarthe,2,Socialistes et apparentés
719372,Guillaume,Kasbarian,Eure-et-Loir,1,Ensemble pour la République
795156,Fatiha,Keloua Hachi,Seine-Saint-Denis,8,Socialistes et apparentés
794130,Andy,Kerbrat,Loire-Atlantique,2,La France insoumise - Nouveau Front Populaire
719052,Loïc,Kervran,Cher,3,Horizons & Indépendants
643184,Brigitte,Klinkert,Haut-Rhin,1,Ensemble pour la République
719798,Daniel,Labaronne,Indre-et-Loire,2,Ensemble pour la République
720846,Bastien,Lachaud,Seine-Saint-Denis,6,La France insoumise - Nouveau Front Populaire
719282,Xavier,Lacombe,Corse-du-Sud,1,Horizons & Indépendants
794146,Julie,Laernoes,Loire-Atlantique,4,Écologiste et Social
841223,Tristan,Lahais,Ille-et-Vilaine,2,Écologiste et Social
841729,Abdelkader,Lahmar,Rhône,7,La France insoumise - Nouveau Front Populaire
795516,Maxime,Laisney,Seine-et-Marne,10,La France insoumise - Nouveau Front Populaire
721004,Amélia,Lakrafi,Français établis hors de France,10,Ensemble pour la République
842125,Thomas,Lam,Hauts-de-Seine,2,Horizons & Indépendants
794354,Hélène,Laporte,Lot-et-Garonne,2,Rassemblement National
721984,Philippe,Latombe,Vendée,1,Les Démocrates
720022,Michel,Lauzzana,Lot-et-Garonne,1,Ensemble pour la République
795912,Laure,Lavalette,Var,2,Rassemblement National
841837,Robert,Le Bourgeois,Seine-Maritime,10,Rassemblement National
